"repo_name","language","qtd_stars","qtd_issues","qtd_pull_requests","repo_url","travis_url","ci","repo_id_travis","coverage","builds_activity","time_to_fix_broken_builds","build_health","analysis_point","forked","size","created","qtd_issues_in_period","qtd_pull_request_in_period","ci_service","analysis_init","analysis_finish","cov_service","qtd_merge_conflicts","qty_bugs_period","analysis_point_days","analysis_releases","analysis_issues","analysis_prs","qty_issues_period","qty_bugs"
"V2Ray-Android/Actinium","Kotlin",475,66,0,"https://github.com/V2Ray-Android/Actinium",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-03-21 23:41:27-03",False,291568,"2016-08-21 23:41:27-03",0,0,NULL,"2017-03-01 00:00:00-03","2018-04-01 00:00:00-03",NULL,NULL,0,212,2,37,1,44,4
"TKkk-iOSer/WeChatPlugin-MacOS","Objective-C",13348,554,7,"https://github.com/TKkk-iOSer/WeChatPlugin-MacOS",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-11-18 11:37:37-03",False,25282,"2017-04-20 11:37:37-03",0,0,NULL,"2017-11-01 00:00:00-03","2018-12-01 00:00:00-03",NULL,NULL,0,212,8,333,12,349,1
"spree/spree","Ruby",11323,4021,0,"https://github.com/spree/spree","https://api.travis-ci.org/repos/spree/spree",True,"2286","86.19437","0.3005050505050505","20147.0","0.5780141843971631","2016-07-14 16:05:15-03",False,120328,"2008-03-10 11:45:35-03",0,0,"Travis CI","2016-07-01 00:00:00-03","2017-08-01 00:00:00-03","COVERALLS",NULL,0,3048,16,660,472,736,42
"SwiftKickMobile/SwiftMessages","Swift",6142,396,18,"https://github.com/SwiftKickMobile/SwiftMessages",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-03-08 13:17:15-03",False,18718,"2016-08-08 13:17:15-03",0,0,NULL,"2017-03-01 00:00:00-03","2018-04-01 00:00:00-03",NULL,NULL,3,212,12,100,10,99,12
"SimpleMobileTools/Simple-Gallery","Kotlin",1891,1942,826,"https://github.com/SimpleMobileTools/Simple-Gallery",NULL,False,NULL,NULL,NULL,NULL,NULL,"2016-09-15 18:17:13-03",False,79914,"2016-02-16 18:17:13-03",2208,826,NULL,"2016-09-01 00:00:00-03","2017-10-01 00:00:00-03",NULL,NULL,81,212,111,348,123,351,416
"shoes/shoes4","Ruby",1487,1095,472,"https://github.com/shoes/shoes4","https://api.travis-ci.org/repos/shoes/shoes4",True,"16034","85.13748","0.4177215189873418","225268.5","0.1590909090909091","2016-11-05 10:29:10-03",False,59788,"2012-05-24 11:57:59-03",1245,472,"Travis CI","2016-11-01 00:00:00-03","2017-12-01 00:00:00-03","COVERALLS",NULL,34,1625,1,59,29,275,320
"steamclock/bluejay","Swift",936,187,23,"https://github.com/steamclock/bluejay",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-07-23 19:09:54-03",False,18118,"2016-12-23 19:09:54-03",0,0,NULL,"2017-07-01 00:00:00-03","2018-08-01 00:00:00-03",NULL,NULL,0,212,20,83,33,89,2
"sedwards2009/extraterm","TypeScript",1812,314,14,"https://github.com/sedwards2009/extraterm",NULL,False,NULL,NULL,NULL,NULL,NULL,"2016-10-02 09:39:59-03",False,119038,"2016-03-04 09:39:59-03",0,0,NULL,"2016-10-01 00:00:00-03","2017-11-01 00:00:00-03",NULL,NULL,12,212,18,38,1,32,134
"spatialos/gdk-for-unity","cs",322,1476,1426,"https://github.com/spatialos/gdk-for-unity",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-01-11 12:37:54-03",False,73833,"2018-06-13 12:37:54-03",1505,1426,NULL,"2019-01-01 00:00:00-03","2020-02-01 00:00:00-03","SONAR",NULL,41,212,16,572,547,599,51
"rwaldron/johnny-five","JavaScript",12313,1517,398,"https://github.com/rwaldron/johnny-five","https://api.travis-ci.org/repos/rwaldron/johnny-five",True,"489313","91.703224","0.1590909090909091","4897632.0","0.07042253521126761","2017-12-07 23:58:20-03",False,94703,"2012-03-30 17:09:52-03",1548,398,"Travis CI","2017-12-01 00:00:00-03","2019-01-01 00:00:00-03","COVERALLS",NULL,6,2078,9,135,38,112,59
"romandanylyk/PageIndicatorView","Java",4465,109,4,"https://github.com/romandanylyk/PageIndicatorView",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-03-20 16:25:32-03",False,33988,"2016-08-20 16:25:32-03",0,0,NULL,"2017-03-01 00:00:00-03","2018-04-01 00:00:00-03",NULL,NULL,3,212,3,47,6,52,6
"RetroMusicPlayer/RetroMusicPlayer","Kotlin",1295,1110,170,"https://github.com/RetroMusicPlayer/RetroMusicPlayer",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-02-24 09:21:51-03",False,239782,"2018-07-27 09:21:51-03",717,95,NULL,"2019-02-01 00:00:00-03","2020-03-01 00:00:00-03",NULL,2,9,212,4,726,82,520,111
"psi-probe/psi-probe","Java",1176,1934,1216,"https://github.com/psi-probe/psi-probe","https://api.travis-ci.org/repos/psi-probe/psi-probe",True,"4305860","34.503185","0.3426395939086294","921221.0","0.06462585034013606","2020-02-25 02:21:16-03",False,36428,"2015-03-16 12:15:01-03",1363,680,"Travis CI","2020-02-01 00:00:00-03","2021-03-01 00:00:00-03","BOTH",7,0,1806,3,407,387,291,270
"nenosllc/iCloudDocumentSync","Objective-C",1134,105,6,"https://github.com/nenosllc/iCloudDocumentSync",NULL,False,NULL,NULL,NULL,NULL,NULL,"2013-07-29 15:58:59-03",False,12762,"2012-12-29 15:58:59-03",0,0,NULL,"2013-07-01 00:00:00-03","2014-08-01 00:00:00-03",NULL,NULL,15,212,7,48,12,43,38
"Mortennn/Dozer","Swift",5126,137,4,"https://github.com/Mortennn/Dozer",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-04-30 08:37:51-03",False,75990,"2018-09-30 08:37:51-03",0,0,NULL,"2019-04-01 00:00:00-03","2020-05-01 00:00:00-03",NULL,NULL,1,212,4,57,12,49,10
